GEOID,county,Pop,White,Black,Asian,Hispanic
48439105703,439,3424,28.68,30.99,3.27,36.45
48439105705,439,4254,24.87,28.96,1.69,41.02
48439105706,439,4107,10.91,28.95,7.82,51.81
48439105800,439,4597,18.25,1.26,0.13,80.36
48439105901,439,4243,9.9,9.0,0.28,80.82
48439105902,439,6214,15.37,25.72,29.0,26.97
48439106002,439,3420,10.15,46.93,0.23,41.4
48439106004,439,8151,15.15,36.12,0.47,43.63
48439106005,439,4898,10.62,23.64,0.0,65.17
48439106006,439,5447,14.39,40.96,0.59,40.79
48439106101,439,1908,9.01,55.56,0.0,34.75
48439106102,439,4039,16.17,35.45,0.0,42.96
48439106201,439,4071,0.0,48.56,0.0,50.16
48439106202,439,5059,10.97,81.87,0.0,6.35
48439106300,439,4557,2.15,69.26,0.0,26.66
48439106400,439,3244,30.27,22.04,0.83,42.88
48439106502,439,2750,34.36,39.75,4.62,16.58
48439106503,439,4525,17.08,57.99,1.17,19.78
48439106507,439,2522,58.68,16.97,3.69,15.5
48439106509,439,5810,45.32,30.4,7.81,12.74
48439106512,439,4910,28.74,42.42,9.76,15.68
48439106513,439,3303,20.5,51.2,1.18,21.1
48439106514,439,5587,29.77,47.59,4.06,15.18
48439106515,439,3799,24.93,50.91,2.92,15.66
48439106518,439,6329,22.04,32.99,16.4,22.82
48439106519,439,1980,5.56,56.06,13.79,15.91
48439106520,439,3436,9.78,53.96,1.95,34.31
48439106521,439,5131,26.54,41.32,8.07,18.81
48439106522,439,5086,15.47,34.66,6.76,41.7
48439106523,439,3711,33.66,36.76,3.56,22.8
48439106524,439,5778,34.65,25.22,18.36,16.86
48439106525,439,2021,52.4,5.2,29.14,12.07
48439106526,439,7014,56.91,16.68,11.49,11.06
48439106600,439,2349,37.59,15.07,0.77,44.57
48439106700,439,2153,49.98,9.43,0.79,39.8
48439110102,439,3953,30.96,5.36,9.31,52.06
48439110103,439,4462,43.01,12.57,9.52,34.89
48439110104,439,3106,35.83,20.64,16.19,24.5
48439110202,439,4391,30.86,4.62,5.26,58.98
48439110204,439,7417,32.25,2.56,5.41,56.53
48439110205,439,5159,49.6,8.53,11.49,30.37
48439110206,439,2768,31.86,16.47,6.61,43.03
48113007912,113,2121,56.91,12.68,12.92,13.3
48113007913,113,2919,68.41,11.03,4.08,8.63
48113007914,113,3391,60.37,13.24,18.76,7.25
48113007915,113,1686,61.45,3.38,8.96,23.61
48113007916,113,1167,64.01,4.37,20.05,8.23
48113008000,113,7401,87.26,0.85,4.99,4.96
48113008101,113,1720,65.81,4.83,2.33,21.98
48113008102,113,4345,72.27,8.03,0.44,14.64
48113008200,113,3642,55.02,9.8,5.19,27.1
48113008401,113,5486,12.41,0.0,0.0,87.31
48113008402,113,3848,9.69,8.47,0.0,80.77
48113008500,113,4384,15.65,14.53,0.34,67.79
48113008604,113,2956,2.47,65.6,0.0,31.94
48113008701,113,5468,1.04,78.75,0.0,18.69
48113008703,113,2977,7.12,47.36,0.0,44.47
48113008704,113,4500,0.64,78.62,0.0,20.73
48113008705,113,1507,1.86,54.81,0.0,42.87
48113008801,113,2754,2.07,74.04,0.0,20.99
48113008802,113,4687,0.51,68.85,0.0,30.53
48113009001,113,6307,7.83,20.28,0.0,71.89
48113009002,113,3450,10.32,14.43,0.87,74.35
48113009101,113,6054,12.42,18.35,0.0,68.85
48113009103,113,3475,4.92,24.69,0.0,69.04
48113009104,113,3690,6.02,16.75,0.0,77.24
48113009105,113,3554,9.12,19.19,0.0,70.12
48113009202,113,6466,3.12,13.63,0.0,83.25
48113009203,113,4595,6.53,4.57,0.0,88.05
48113009204,113,2673,15.08,18.14,0.0,66.67
48113009301,113,5259,3.06,11.62,0.0,85.32
48113009303,113,3930,1.27,15.01,0.0,83.28
48113009304,113,8724,1.77,61.86,0.0,33.53
48113009401,113,3184,51.13,3.52,1.98,41.3
48113009402,113,2458,81.24,0.0,2.32,12.04
48113009500,113,2099,77.23,4.1,3.19,12.63
48113009603,113,4984,70.59,3.61,5.0,18.18
48113009604,113,4433,61.02,16.26,0.63,21.18
48113009605,113,3069,20.17,9.68,2.93,66.31
48113009607,113,3434,61.91,2.04,1.37,32.96
48113009608,113,2846,69.71,3.09,1.83,24.28
48113009609,113,3429,79.53,2.36,7.84,8.46
48113009610,113,4566,23.57,1.27,0.0,74.75
48113009611,113,4032,40.05,3.27,3.42,53.25
48113009701,113,5219,34.97,4.08,0.34,59.03
48113009702,113,3080,76.27,0.42,3.21,17.99
48113009802,113,6233,22.43,1.25,0.56,75.76
48113009803,113,2125,34.96,6.02,0.71,56.75
48113009804,113,7544,26.9,1.19,0.72,70.86
48139060103,139,4745,47.65,7.57,0.06,43.9
48139060104,139,4304,28.51,9.87,0.0,61.62
48139060105,139,3578,42.68,0.73,0.0,52.12
48139060106,139,3053,46.54,6.22,0.0,45.66
48139060206,139,6479,42.32,22.81,0.49,30.08
48139060207,139,6995,52.87,9.72,3.53,29.08
48139060209,139,4900,75.04,8.69,2.51,12.04
48139060211,139,3865,81.47,10.48,0.0,7.37
48139060212,139,7211,69.12,2.19,1.14,26.67
48139060215,139,3802,57.86,17.46,2.1,22.01
48139060216,139,6736,45.0,27.09,0.0,26.99
48139060217,139,7545,72.99,5.71,2.62,17.23
48439110301,439,3487,35.53,3.38,9.75,50.76
48439110302,439,4890,29.59,1.82,4.44,63.68
48439110401,439,4932,66.22,0.53,0.0,32.2
48439110402,439,5593,29.41,3.45,0.0,63.95
48439110500,439,7653,39.19,0.21,0.38,59.49
48439110600,439,2713,58.75,2.69,0.88,31.51
48439110703,439,6061,51.26,6.12,0.76,39.05
48439110704,439,4710,63.18,5.9,2.95,24.82
48439110705,439,3565,68.84,4.82,2.75,22.16
48439110706,439,3380,45.83,7.22,2.25,44.17
48439110805,439,6392,64.49,7.6,2.72,21.31
48439110806,439,5039,68.92,8.95,1.39,18.48
48439110807,439,8011,57.9,2.27,2.87,25.66
48439110808,439,3985,76.29,6.75,2.94,11.67
48439110809,439,2178,84.25,3.99,1.47,8.95
48439110901,439,5352,60.28,1.98,0.36,36.01
48439110903,439,1356,75.44,5.46,2.51,9.66
48439110905,439,4339,74.0,1.8,0.37,19.61
48439110906,439,4747,61.64,1.54,0.48,34.59
48439110907,439,3733,72.78,5.09,5.95,13.9
48439111003,439,3007,39.71,14.87,3.96,37.94
48439111010,439,3570,78.94,1.54,0.0,17.56
48439111015,439,2352,56.16,9.57,0.43,32.57
48439111018,439,2459,52.91,17.81,0.45,25.42
48439111019,439,4896,20.06,27.57,13.17,38.64
48439111020,439,6048,22.73,35.95,2.84,37.35
48439111021,439,4867,54.06,25.85,2.3,13.21
48439111022,439,5951,41.2,31.51,3.63,22.1
48439111023,439,7132,13.45,52.33,3.76,24.13
